TANGGAL,RR
01-02-2025,9.3
02-02-2025,1.6
03-02-2025,0
04-02-2025,0
05-02-2025,3.4
06-02-2025,12.1
07-02-2025,1.1
08-02-2025,3.2
09-02-2025,5.47
10-02-2025,2.4
11-02-2025,0
12-02-2025,0
13-02-2025,0
14-02-2025,0
15-02-2025,0.4
16-02-2025,0.2
17-02-2025,0.2
18-02-2025,1.2
19-02-2025,3
20-02-2025,5.8
21-02-2025,6
22-02-2025,0
23-02-2025,1
24-02-2025,1.7
25-02-2025,45.1
26-02-2025,5.5
27-02-2025,4.7
28-02-2025,41
01-03-2025,19.6
02-03-2025,0
03-03-2025,74.2
04-03-2025,53.8
05-03-2025,0.2
06-03-2025,0
07-03-2025,41.8
08-03-2025,0
09-03-2025,11.7
10-03-2025,7.4
11-03-2025,0.2
12-03-2025,26
13-03-2025,0
14-03-2025,46.4
15-03-2025,7.2
16-03-2025,6.5
17-03-2025,20.03
18-03-2025,130.4
19-03-2025,5.2
20-03-2025,0
21-03-2025,45.2
22-03-2025,0
23-03-2025,0.5
24-03-2025,15.23
25-03-2025,4.1
26-03-2025,6.61
27-03-2025,1.6
28-03-2025,3.4
29-03-2025,6.4
30-03-2025,0.2
31-03-2025,0
01-04-2025,6.4
02-04-2025,11.8
03-04-2025,9.6
04-04-2025,4.6
05-04-2025,0
06-04-2025,0.3
07-04-2025,6.8
08-04-2025,0.1
09-04-2025,0
10-04-2025,0
11-04-2025,0.6
12-04-2025,28.4
13-04-2025,3
14-04-2025,2.6
15-04-2025,0
16-04-2025,3.2
17-04-2025,6.8
18-04-2025,0
19-04-2025,0
20-04-2025,21.7
21-04-2025,0
22-04-2025,0
23-04-2025,0
24-04-2025,0
25-04-2025,1.8
26-04-2025,3.6
27-04-2025,36.9
28-04-2025,69.5
29-04-2025,1.6
30-04-2025,0
01-05-2025,19.8
02-05-2025,4.0
03-05-2025,0.0
04-05-2025,0.4
05-05-2025,0.0
06-05-2025,32.4
07-05-2025,19.2
08-05-2025,9.4
09-05-2025,55.2
10-05-2025,8.4
11-05-2025,1.5
12-05-2025,1.0
13-05-2025,0.0
14-05-2025,22.3
15-05-2025,14.8
16-05-2025,25.5
17-05-2025,3.8
18-05-2025,1.0
19-05-2025,0.3
20-05-2025,10.9
21-05-2025,1.2
22-05-2025,2.2
23-05-2025,3.2
24-05-2025,10.7
25-05-2025,0.2
26-05-2025,0.0
27-05-2025,1.4
28-05-2025,0.0
29-05-2025,0.0
30-05-2025,4.2
31-05-2025,0.2
01-06-2025,5.2
02-06-2025,0.0
03-06-2025,0.0
04-06-2025,0.0
05-06-2025,0.0
06-06-2025,0.0
07-06-2025,0.0
08-06-2025,6.4
09-06-2025,0.0
10-06-2025,0.0
11-06-2025,2.0
12-06-2025,0.0
13-06-2025,0.0
14-06-2025,0.0
15-06-2025,0.0
16-06-2025,0.0
17-06-2025,57.0
18-06-2025,34.7
19-06-2025,7.5
20-06-2025,0.2
21-06-2025,53.0
22-06-2025,25.2
23-06-2025,0.0
24-06-2025,0.0
25-06-2025,0.0
26-06-2025,2.7
27-06-2025,0.0
28-06-2025,0.0
29-06-2025,12.0
30-06-2025,0.9
01-07-2025,10.1
02-07-2025,2.4
03-07-2025,11.8
04-07-2025,51.6
05-07-2025,50.0
06-07-2025,86.0
07-07-2025,6.7
08-07-2025,53.8
09-07-2025,0.2
10-07-2025,1.4
11-07-2025,0.0
12-07-2025,0.0
13-07-2025,0.0
14-07-2025,2.7
15-07-2025,0.3
16-07-2025,0.0
17-07-2025,0.5
18-07-2025,0.2
19-07-2025,8.8
20-07-2025,0.0
21-07-2025,0.0
22-07-2025,0.0
23-07-2025,0.0
24-07-2025,0.0
25-07-2025,0.0
26-07-2025,0.0
27-07-2025,0.0
28-07-2025,55.3
29-07-2025,5.4
30-07-2025,53.5
31-07-2025,68.8
01-08-2025,0.0
